lat, lon, z
61.28936389,6.968708596,603
61.28938685,6.968698707,603.4
61.28953756,6.968478095,606.8
61.28958676,6.968407269,607.8
61.28973235,6.968175592,611
61.28981274,6.96805154,612.8
61.28985012,6.967988593,613.8
61.28990745,6.967890356,615.2
61.28996001,6.967792623,616.4
61.2900279,6.967648286,618.2
61.29013963,6.967337821,621.4
61.29027835,6.967067503,625.4
61.29046368,6.966954601,628.8
61.29058136,6.966907997,630.8
61.29069879,6.966864577,632.8
61.29088646,6.966802804,636
61.29096357,6.966756034,637.4
61.29107656,6.966677831,639.6
61.29126096,6.96661857,642.6
61.29142416,6.966565344,645.4
61.29159289,6.966431233,648.8
61.29164234,6.966382115,649.8
61.29180444,6.966210623,653.4
61.29181844,6.966194781,653.8
61.291858,6.966135437,654.8
61.29187007,6.966112385,655.2
61.2918829,6.966090677,655.4
61.29191534,6.966059833,656.2
61.2920357,6.96589211,659.2
61.29206068,6.965855566,659.8
61.292117,6.965770993,661.2
61.29215657,6.965731598,662
61.29222915,6.965668649,663.6
61.29240777,6.96555038,667
61.29242018,6.965538644,667.2
61.29258547,6.965373857,670.8
61.2927656,6.965345023,673.6
61.29285872,6.965626403,672.8
61.29287003,6.965774596,672
61.29283567,6.965808877,671.2
61.29282276,6.965604527,672.6
61.29281891,6.965575946,672.6
61.29281463,6.965511907,673.2
61.29280357,6.965516601,673
61.29280642,6.965536549,672.8
61.29280801,6.96554292,672.8
61.29281094,6.965551134,672.8
61.29281438,6.965558259,672.8
61.29282486,6.965611149,672.6
61.29282779,6.965623639,672.4
61.29282955,6.965636294,672.4
61.29283064,6.965652974,672.2
61.29283089,6.96566647,672.2
61.29283818,6.965767303,671.6
61.29287146,6.96605145,670
61.29288076,6.966098136,669.6
61.29288915,6.966143398,669.4
61.29289753,6.966184974,669.2
61.29290574,6.966223866,669.2
61.29292293,6.966303829,668.8
61.2929334,6.966341799,668.6
61.29294447,6.966378512,668.6
61.29299124,6.966547575,668
61.29302418,6.966700209,667.2
61.29303667,6.966787548,666.8
61.29308679,6.967051997,665.6
61.29314454,6.967279819,664.6
61.29315628,6.967332037,664.4
